Approach,Portion,Time,Throughput,Latency
Sequential,25%,0.3626728057861328,88316.5197086434,1.132290995273596e-05
Parallel,25%,0.4604206085205078,69566.82521862688,1.4374667765235961e-05
Hybrid,25%,0.5338077545166016,83882.25839946547,1.1921472061920217e-05
Sequential,50%,0.7579631805419922,84050.25684024047,1.1897643595554525e-05
Parallel,50%,0.7603671550750732,83784.52379851944,1.1935378452525989e-05
Hybrid,50%,0.9031567573547363,99156.65167838139,1.0085052117769574e-05
Sequential,75%,1.2041125297546387,79538.2471599358,1.2572567735735946e-05
Parallel,75%,1.1262261867523193,85038.86797036667,1.175932869130464e-05
Hybrid,75%,1.3133702278137207,102279.6140457758,9.77711941259814e-06
Sequential,100%,1.458083152770996,87631.49053411219,1.1411422924624698e-05
Parallel,100%,1.5089805126190186,84675.71246379633,1.1809761865630086e-05
Hybrid,100%,1.7343461513519287,103271.19523422974,9.68324224128419e-06
